ticker,company,aliases,country,sector,idx_code,idx_board,listed_shares,listing_date_raw
BBRM.JK,Pelayaran Nasional Bina Buana,BBRM;BBRM.JK;Pelayaran Nasional Bina Buana,Indonesia,,BBRM,Pengembangan,8479490328,09 Jan 2013
BBTN.JK,Bank Tabungan Negara (Persero),BBTN;BBTN.JK;Bank Tabungan Negara (Persero);Bank Tabungan Negara (),Indonesia,,BBTN,Utama,13894099969,17 Des 2009
BBYB.JK,Bank Neo Commerce Tbk.,BBYB;BBYB.JK;Bank Neo Commerce Tbk.;Bank Neo Commerce,Indonesia,,BBYB,Utama,13216977523,13 Jan 2015
BCAP.JK,MNC Kapital Indonesia Tbk.,BCAP;BCAP.JK;MNC Kapital Indonesia Tbk.;MNC Kapital Indonesia,Indonesia,,BCAP,Utama,42618850927,08 Jun 2001
BCIC.JK,Bank JTrust Indonesia Tbk.,BCIC;BCIC.JK;Bank JTrust Indonesia Tbk.;Bank JTrust Indonesia,Indonesia,,BCIC,Pengembangan,17926071041,25 Jun 1997
BCIP.JK,Bumi Citra Permai Tbk.,BCIP;BCIP.JK;Bumi Citra Permai Tbk.;Bumi Citra Permai,Indonesia,,BCIP,Pengembangan,1429915525,11 Des 2009
BDMN.JK,Bank Danamon Indonesia Tbk.,BDMN;BDMN.JK;Bank Danamon Indonesia Tbk.;Bank Danamon Indonesia,Indonesia,,BDMN,Utama,9675817341,06 Des 1989
BEKS.JK,Bank Pembangunan Daerah Banten,BEKS;BEKS.JK;Bank Pembangunan Daerah Banten,Indonesia,,BEKS,Pemantauan Khusus,51351733883,13 Jul 2001
BEST.JK,Bekasi Fajar Industrial Estate,BEST;BEST.JK;Bekasi Fajar Industrial Estate,Indonesia,,BEST,Utama,9647311150,10 Apr 2012
BFIN.JK,BFI Finance Indonesia Tbk.,BFIN;BFIN.JK;BFI Finance Indonesia Tbk.;BFI Finance Indonesia,Indonesia,,BFIN,Utama,15039383620,16 Mei 1990
BGTG.JK,Bank Ganesha Tbk.,BGTG;BGTG.JK;Bank Ganesha Tbk.;Bank Ganesha,Indonesia,,BGTG,Utama,23731287132,12 Mei 2016
BHIT.JK,MNC Asia Holding Tbk.,BHIT;BHIT.JK;MNC Asia Holding Tbk.;MNC Asia Holding,Indonesia,,BHIT,Pemantauan Khusus,86068156705,24 Nov 1997
BIKA.JK,Binakarya Jaya Abadi Tbk.,BIKA;BIKA.JK;Binakarya Jaya Abadi Tbk.;Binakarya Jaya Abadi,Indonesia,,BIKA,Pemantauan Khusus,592280000,14 Jul 2015
BIMA.JK,Primarindo Asia Infrastructure,BIMA;BIMA.JK;Primarindo Asia Infrastructure,Indonesia,,BIMA,Pemantauan Khusus,608175716,30 Agt 1994
BINA.JK,Bank Ina Perdana Tbk.,BINA;BINA.JK;Bank Ina Perdana Tbk.;Bank Ina Perdana,Indonesia,,BINA,Utama,6073369498,16 Jan 2014
BIPI.JK,Astrindo Nusantara Infrastrukt,BIPI;BIPI.JK;Astrindo Nusantara Infrastrukt,Indonesia,,BIPI,Pengembangan,63710196917,11 Feb 2010
BIPP.JK,Bhuwanatala Indah Permai Tbk.,BIPP;BIPP.JK;Bhuwanatala Indah Permai Tbk.;Bhuwanatala Indah Permai,Indonesia,,BIPP,Pengembangan,5028669376,23 Okt 1995
BIRD.JK,Blue Bird Tbk.,BIRD;BIRD.JK;Blue Bird Tbk.;Blue Bird,Indonesia,,BIRD,Utama,2502100000,05 Nov 2014
BISI.JK,BISI International Tbk.,BISI;BISI.JK;BISI International Tbk.;BISI International,Indonesia,,BISI,Utama,3000000000,28 Mei 2007
BJBR.JK,Bank Pembangunan Daerah Jawa B,BJBR;BJBR.JK;Bank Pembangunan Daerah Jawa B,Indonesia,,BJBR,Utama,10416229249,08 Jul 2010
BJTM.JK,Bank Pembangunan Daerah Jawa T,BJTM;BJTM.JK;Bank Pembangunan Daerah Jawa T,Indonesia,,BJTM,Utama,14865343101,12 Jul 2012
BKDP.JK,Bukit Darmo Property Tbk,BKDP;BKDP.JK;Bukit Darmo Property Tbk;Bukit Darmo Property,Indonesia,,BKDP,Pengembangan,7513992252,15 Jun 2007
BKSL.JK,Sentul City Tbk.,BKSL;BKSL.JK;Sentul City Tbk.;Sentul City,Indonesia,,BKSL,Utama,167708902705,28 Jul 1997
BKSW.JK,Bank QNB Indonesia Tbk.,BKSW;BKSW.JK;Bank QNB Indonesia Tbk.;Bank QNB Indonesia,Indonesia,,BKSW,Pengembangan,34806467881,21 Nov 2002
BLTA.JK,Berlian Laju Tanker Tbk,BLTA;BLTA.JK;Berlian Laju Tanker Tbk;Berlian Laju Tanker,Indonesia,,BLTA,Pemantauan Khusus,25940187103,26 Mar 1990
BLTZ.JK,Graha Layar Prima Tbk.,BLTZ;BLTZ.JK;Graha Layar Prima Tbk.;Graha Layar Prima,Indonesia,,BLTZ,Pemantauan Khusus,873937142,10 Apr 2014
BMAS.JK,Bank Maspion Indonesia Tbk.,BMAS;BMAS.JK;Bank Maspion Indonesia Tbk.;Bank Maspion Indonesia,Indonesia,,BMAS,Pengembangan,17921635680,11 Jul 2013
BMRI.JK,Bank Mandiri (Persero) Tbk.,BMRI;BMRI.JK;Bank Mandiri (Persero) Tbk.;Bank Mandiri (),Indonesia,,BMRI,Utama,92399999996,14 Jul 2003
BMSR.JK,Bintang Mitra Semestaraya Tbk,BMSR;BMSR.JK;Bintang Mitra Semestaraya Tbk;Bintang Mitra Semestaraya,Indonesia,,BMSR,Pengembangan,1159200024,29 Des 1999
BMTR.JK,Global Mediacom Tbk.,BMTR;BMTR.JK;Global Mediacom Tbk.;Global Mediacom,Indonesia,,BMTR,Utama,16583997586,17 Jul 1995
BNBA.JK,Bank Bumi Arta Tbk.,BNBA;BNBA.JK;Bank Bumi Arta Tbk.;Bank Bumi Arta,Indonesia,,BNBA,Pengembangan,3354120000,01 Jun 2006
BNBR.JK,Bakrie & Brothers Tbk,BNBR;BNBR.JK;Bakrie & Brothers Tbk;Bakrie & Brothers,Indonesia,,BNBR,Pengembangan,173416832509,28 Agt 1989
BNGA.JK,Bank CIMB Niaga Tbk.,BNGA;BNGA.JK;Bank CIMB Niaga Tbk.;Bank CIMB Niaga,Indonesia,,BNGA,Utama,24890783784,29 Nov 1989
BNII.JK,Bank Maybank Indonesia Tbk.,BNII;BNII.JK;Bank Maybank Indonesia Tbk.;Bank Maybank Indonesia,Indonesia,,BNII,Utama,75357433911,21 Nov 1989
BNLI.JK,Bank Permata Tbk.,BNLI;BNLI.JK;Bank Permata Tbk.;Bank Permata,Indonesia,,BNLI,Utama,35819545925,15 Jan 1990
BOLT.JK,Garuda Metalindo Tbk.,BOLT;BOLT.JK;Garuda Metalindo Tbk.;Garuda Metalindo,Indonesia,,BOLT,Pengembangan,2343750000,07 Jul 2015
BPFI.JK,Woori Finance Indonesia Tbk.,BPFI;BPFI.JK;Woori Finance Indonesia Tbk.;Woori Finance Indonesia,Indonesia,,BPFI,Pengembangan,2673995362,01 Jun 2009
BPII.JK,Batavia Prosperindo Internasio,BPII;BPII.JK;Batavia Prosperindo Internasio,Indonesia,,BPII,Pengembangan,9884153240,08 Jul 2014
BRAM.JK,Indo Kordsa Tbk.,BRAM;BRAM.JK;Indo Kordsa Tbk.;Indo Kordsa,Indonesia,,BRAM,Pengembangan,450056980,05 Sep 1990
BRMS.JK,Bumi Resources Minerals Tbk.,BRMS;BRMS.JK;Bumi Resources Minerals Tbk.;Bumi Resources Minerals,Indonesia,,BRMS,Utama,141784040338,09 Des 2010
BRNA.JK,Berlina Tbk.,BRNA;BRNA.JK;Berlina Tbk.;Berlina,Indonesia,,BRNA,Pengembangan,979110000,06 Nov 1989
BRPT.JK,Barito Pacific Tbk.,BRPT;BRPT.JK;Barito Pacific Tbk.;Barito Pacific,Indonesia,,BRPT,Utama,93747218044,01 Okt 1993
BSDE.JK,Bumi Serpong Damai Tbk.,BSDE;BSDE.JK;Bumi Serpong Damai Tbk.;Bumi Serpong Damai,Indonesia,,BSDE,Utama,21171365812,06 Jun 2008
BSIM.JK,Bank Sinarmas Tbk.,BSIM;BSIM.JK;Bank Sinarmas Tbk.;Bank Sinarmas,Indonesia,,BSIM,Utama,19517921842,13 Des 2010
BSSR.JK,Baramulti Suksessarana Tbk.,BSSR;BSSR.JK;Baramulti Suksessarana Tbk.;Baramulti Suksessarana,Indonesia,,BSSR,Utama,2616500000,08 Nov 2012
